Unnamed: 0,Sentiment,EMA,SMA,Index_EMA,Index_SMA,percent_difference
2016-09-07,0.07142018398268397,768.2812,768.1565,219.2245,219.544,0.18247097212449453
2016-09-08,0.175695202020202,769.7839,768.9315,219.2803,219.5905,-0.653261794227546
2016-09-09,0.09097132034632034,768.8654,768.3765,218.8288,219.32299999999998,0.05285514456891849
2016-09-12,0.1604901515151515,769.1154,768.323,218.7147,219.21900000000002,0.093595348938315
2016-09-13,0.13566118326118326,768.3435,767.949,218.3104,218.924,0.06646422681768999
2016-09-14,0.12015909090909091,767.6526,767.8015,217.9332,218.679,0.11759539143034893
2016-09-15,0.09340800865800868,767.8467,768.0545,217.7986,218.5225,1.5628811018628386
2016-09-16,0.07923635161135162,768.8632,768.7575,217.5911,218.2955,-0.4903107484278518
2016-09-19,0.11367261904761904,769.4572,769.6469999999999,217.4139,218.09099999999998,0.6512890799322206
2016-09-20,0.18485351731601732,770.4822,770.684,217.2554,217.891,0.10313506666702632
2016-09-21,0.1449349927849928,772.3163,772.0485,217.3416,217.7885,1.280066235238852
2016-09-22,0.12486507936507937,775.4004,774.421,217.5471,217.805,0.6544014054106354
2016-09-23,0.1300755411255411,778.2909,776.7475,217.6236,217.775,0.5102713416087601
2016-09-26,0.11999296536796537,780.2784,778.2555,217.4166,217.6195,1.5129473206091322
2016-09-27,0.16795562770562772,783.6909,780.4965,217.3541,217.4775,1.0192075541597054
2016-09-28,0.15180037878787878,787.9794,783.5535,217.4061,217.4095,0.9393156272648046
2016-09-29,0.11914015151515152,791.8909,786.548,217.2664,217.274,0.24611269918489365
2016-09-30,0.13760883838383842,796.2165,789.8825,217.2944,217.2185,0.2398858768406295
2016-10-03,0.12976623376623375,800.0759,793.0975,217.2559,217.0815,0.11413405624529188
2016-10-04,0.13997395382395383,803.3096,795.3555,217.1306,216.86,0.7986275404853614
2016-10-05,0.16321590909090908,807.2192,798.3495,217.1076,216.688,-0.4165920934581009
2016-10-06,0.10341919191919194,810.4993,801.2295,217.1069,216.5525,0.1265720493377338
2016-10-07,0.14091843434343437,813.2546,805.194,217.0253,216.638,-0.2324333626058719
2016-10-10,0.18640719696969693,815.9646,808.705,217.0553,216.6235,-0.039318727842219126
